308	306
307	311
307	315
307	320
309	325
303	328
287	327
282	328
271	326
270	329
264	328
258	326
257	328
255	328
252	328
251	329
249	329
247	329
244	327
243	330
241	329
240	329
238	330
237	330
235	327
234	328
233	328
231	330
230	329
228	330
226	330
225	330
223	330
221	330
219	330
216	330
204	342
211	330
209	330
206	329
201	330
196	330
191	330
183	330
170	331
162	329
162	325
165	319
175	313
158	311
162	306
159	301
171	298
160	292
175	291
173	286
182	286
191	286
200	287
202	286
205	285
209	285
212	285
214	285
217	286
220	287
220	284
222	285
224	285
226	285
227	284
229	285
230	286
231	285
233	285
234	286
235	285
237	284
238	286
240	284
241	284
243	284
244	285
246	285
248	284
250	284
252	284
254	285
257	284
262	283
262	286
268	284
275	283
283	283
291	284
305	283
307	287
308	292
305	297
309	301
