311	281
312	281
228	282
231	282
237	282
277	282
294	282
327	282
193	283
251	283
253	283
262	283
270	283
275	283
283	283
284	283
305	283
167	284
195	284
213	284
220	284
222	284
227	284
228	284
230	284
231	284
233	284
237	284
238	284
240	284
241	284
243	284
246	284
248	284
250	284
252	284
255	284
257	284
261	284
264	284
268	284
291	284
181	285
190	285
201	285
205	285
209	285
212	285
214	285
217	285
219	285
222	285
224	285
226	285
229	285
231	285
233	285
234	285
235	285
237	285
241	285
242	285
244	285
246	285
254	285
173	286
182	286
191	286
192	286
202	286
210	286
217	286
230	286
233	286
234	286
238	286
255	286
262	286
311	286
200	287
220	287
243	287
244	287
307	287
227	288
156	291
175	291
231	291
157	292
160	292
308	292
310	292
322	295
158	296
310	296
198	297
199	297
305	297
171	298
324	300
159	301
160	301
162	301
309	301
310	301
160	306
162	306
308	306
311	306
323	306
155	311
158	311
159	311
307	311
311	311
324	312
175	313
161	315
307	315
323	317
162	319
165	319
160	320
249	320
307	320
310	320
260	322
323	323
159	325
160	325
162	325
309	325
258	326
271	326
277	326
311	326
235	327
241	327
244	327
272	327
287	327
218	328
233	328
234	328
243	328
246	328
252	328
255	328
257	328
261	328
264	328
282	328
289	328
301	328
303	328
162	329
202	329
206	329
219	329
225	329
227	329
228	329
230	329
231	329
234	329
237	329
238	329
240	329
241	329
243	329
245	329
247	329
249	329
251	329
253	329
256	329
262	329
265	329
270	329
292	329
324	329
159	330
161	330
174	330
183	330
191	330
196	330
201	330
209	330
211	330
214	330
216	330
219	330
221	330
223	330
225	330
226	330
228	330
230	330
231	330
232	330
236	330
237	330
238	330
242	330
243	330
245	330
170	331
171	331
180	331
181	331
195	331
181	335
324	335
262	336
261	339
204	342
263	345
185	346
263	351
171	358
234	381
